LOS Supported?,Field ID,1003 Section,Data Stream,Position,Field Length,# Occurrences,Field Information,Value(s)/EDI Code(s),"Desktop
Underwriter (DU)",Government (G),"Credit
Request (CR)",EarlyCheck (EC),Root Element:  <LOAN_APPLICATION>
,ADS-020,,Service Provider Name ,4,35,,"Format: Text

Required, if applicable","DataVerify
Formfree
Placeholder
",C,,,C,<ADDITIONAL_CASE_DATA VERIFICATION IncomeAssetVerificationType>
,ADS-030,,Service Provider Reference Number ,39,50,,"Format: Alphanumeric

SSN(no dashes):Reference ID (if this is a GUID, include dashes)

Examples by vendor:
Formfree        SSN:Report ID
Formfree        SSN:Reissue Key
DataVerify      SSN:PIN Code
Placeholder    Reference number only (including dashes)


",Must equal: Reference number of the income or asset verification data to be retrieved from the data provider specified in ADS-020.,C,,,C,<ADDITIONAL_CASE_DATA VERIFICATION IncomeAssetVerificationIdentifier>
,ADS-020,,Supervisory Appraiser License Number,4,35,,"Format: Text

Required, if applicable",Must equal: SupervisoryAppraiserLicenseNumber,C,,,C,<PROPERTY _VALUATION Appraiser _SupervisoryAppraiserLicenseNumber>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value of SupervisoryAppraiserLicenseNumber. Value must allow alphanumeric characters and cannot exceed 21 characters in length. Required, if applicable",,C,,,C,<PROPERTY _VALUATION Appraiser _SupervisoryAppraiserLicenseNumber>
,ADS-020,,Doc File ID,4,35,,"Format: Text

Required if Collateral Underwriter messages are desired.  Must be used in connection with 99B-060, Actual Appraised Value ",Must equal AppraisalIdentifier,C,,,C,<PROPERTY _VALUATION AppraisalIdentifier>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value of Doc File ID (AppraisalIdentifier). A ten character Doc File ID generated by UCDP, which can contain the numbers 0-9 and letters A-H. Required if Collateral Underwriter messages are desired.
",,C,,,C,<PROPERTY _VALUATION AppraisalIdentifier>
,ADS-020,,FIPS Code Identifier,4,35,,"Format: Text

To be used in connection with HomeReady and high balance loans.  If not provided, DU will attempt to determine the location. If provided, DU will use the value specified.",Must equal: FIPSCodeIdentifier,C,,,C,<TRANSMITTAL_DATA FIPSCodeIdentifier>
,ADS-030,,Value,39,50,,"Format: Numeric

Value of FIPS Code Identifier (FIPSCodeIdentifier). Eleven-digit code
identifying the area in which the property is located, where the first
two digits are the state number, the next three are the county number,
and the last six are the census tract number.",,C,,,C,<TRANSMITTAL_DATA FIPSCodeIdentifier>
,ADS-020,,Number of Financed Properties,4,35,,"Format: Text

The number of financed 1- to 4-unit residential properties
(including the subject transaction) for which the borrower(s) are personally
obligated. A jointly owned/obligated property by multiple borrowers 
would count only once.",Must equal TotalMortgagedPropertiesCount,C,,,C,<LOAN_DETAILTotalMortgagedPropertiesCount>
,ADS-030,,Value,39,50,,Format: Numeric n(2),,C,,,C,<LOAN_DETAILTotalMortgagedPropertiesCount>
,ADS-020,,HMDA Gender Type,4,35,,"Format: Text
Supported as of DU v10.1 July 2017 ",Must equal HMDAGenderType,,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL HMDAGenderType>
,ADS-030,,Value,39,50,,"Format: Alphanumeric  

Value should be in the following format:
SSN(no dashes):Value 

","ApplicantSelectedBothMaleAndFemale
Female
Male
InformationNotProvidedUnknown
NotApplicable",,,,R,
,ADS-020,,HMDA Gender Refusal Indicator,4,35,,Format: Text Supported as of DU v10.1 July 2017,Must equal HMDAGenderRefusalIndicator,,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL HMDAGenderRefusalIndicator>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","Y = Yes
N = No",,,,R,
,ADS-020,,HMDA Ethnicity Type,4,35,,"Format: Text 
Supported as of DU v10.1 July 2017",Must equal HMDAEthnicityType,,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_ETHNICITIES HMDA_ETHNICITY HMDAEthnicityType>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","HispanicOrLatino
InformationNotProvidedByApplicantInMIT
NotApplicable
NotHispanicOrLatino",,,,R,
,ADS-020,,HMDA Ethnicity Origin Type,4,35,,"Format: Text
Supported as of DU v10.1 July 2017", Must equal HMDAEthnicityOriginType,,,,C,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_ETHNICITY_ORIGINS HMDA_ETHNICITY_ORIGIN  HMDAEthnicityOriginType>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","Cuban
Mexican
Other
PuertoRican",,,,C,
,ADS-020,,HMDA Ethnicity OriginType Other Description,4,35,,"Format: Text
Supported as of DU v10.1 July 2017

Field Name abbreviated due to 35 character length constraint  
Use when HMDAEthnicityOriginType = Other
","Must equal HMDAEthnicityOriginTypeOtherDesc                                                               
",,,,C,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_ETHNICITY_ORIGINS HMDA_ETHNICITY_ORIGIN  HMDAEthnicityOriginTypeOtherDescription>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Description should not exceed 40 characters
Description segment may repeat for same borrower, if description exceeds 40 characters

Description should not contain special characters
The colon character ( : ) is allocated as the ADS-030 delimiter and should not be used in any description text.

","


",,,,C,
,ADS-020,,HMDA Ethnicity Refusal Indicator,4,35,,"Format: Text
Supported as of DU v10.1 July 2017",Must equal HMDAEthnicityRefusalIndicator,,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL HMDAEthnicityRefusalIndicator>
,ADS-030,,Value,39,50,,"Format: Text  Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","Y = Yes
N = No",,,,R,
,ADS-020,,HMDA RaceType,4,35,,Format: Text     Supported as of DU v10.1 July 2017,Must equal HMDARaceType ,,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_RACES HMDA_RACE_EXTENSION HMDA_RACE_DETAIL HMDARaceType>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):n:Value
Where n is a segment number that groups related race attributes to HMDARaceType


","AmericanIndianOrAlaskaNative
Asian
BlackOrAfricanAmerican
InformationNotProvidedByApplicantInMIT
NativeHawaiianOrOtherPacificIslander
NotApplicable
White",,,,R,
,ADS-020,,HMDA Race Refusal Indicator,4,35,,Format: Text     Supported as of DU v10.1 July 2017, Must equal HMDARaceRefusalIndicator,,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL HMDARaceRefusalIndicator>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value

","Y = Yes
N = No",,,,R,
,ADS-020,,HMDA Race Designation Type  ,4,35,,Format: Text, Must equal HMDARaceDesignationType  ,,,,C,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_RACES HMDA_RACE_EXTENSION HMDA_RACE_DESIGNATIONS HMDA_RACE_DESIGNATION HMDARaceDesignationType>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):n:Value
Where n is a segment number that groups this race designation type with HMDARaceType


","AsianIndian
Chinese
Filipino
GuamanianOrChamorro
Japanese
Korean
NativeHawaiian
OtherAsian
OtherPacificIslander
Samoan
Vietnamese
",,,,C,
,ADS-020,,HMDA Race Designation Other Asian Description,4,35,,Format: Text,Must equal HMDARaceDesignationOtherAsnDesc,,,,C,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_RACES HMDA_RACE_EXTENSION HMDA_RACE_DESIGNATIONS HMDA_RACE_DESIGNATION HMDARaceDesignationOtherAsianDescription>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):n:Value
Where n is a segment number that groups this race designation type with HMDARaceType. 

Description should not exceed 38 characters.
Description segment may repeat for same borrower, if description exceeds 38 characters.

Description should not contain special characters
The colon character ( : ) is allocated as an ADS-030 delimiter and should not be used in any description text.


","
",,,,C,
,ADS-020,,HMDA Race Designation Other Pacific Islander Description ,4,35,,Format: Text,Must equal HMDARaceDesignationOtherPIDesc,,,,C,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_RACES HMDA_RACE_EXTENSION HMDA_RACE_DESIGNATIONS HMDA_RACE_DESIGNATION HMDARaceDesignationOtherPacificIslanderDescription>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):n:Value
Where n is a segment number that groups this race designation type with HMDARaceType. 

Description should not exceed 38 characters.
Description segment may repeat for same borrower, if description exceeds 38 characters.

Description should not contain special characters
The colon character ( : ) is allocated as an ADS-030 delimiter and should not be used in any description text.



","
",,,,C,
,ADS-020,,HMDA Race Type Additional Description,4,38,,Format: Text,Must equal HMDARaceTypeAdditionalDescription,,,,C,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION HMDA_RACES HMDA_RACE_EXTENSION HMDA_RACE_DETAIL HMDARaceTypeAdditionalDescription>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):n:Value
Where n is a sequence number that groups this race designation type with HMDARaceType. 

Description should not exceed 38 characters.
Description segment may repeat for same borrower, if description exceeds 38 characters.

Description should not contain special characters
The colon character ( : ) is allocated as an ADS-030 delimiter and should not be used in any description text.


",,,,,C,
,ADS-020,,HMDA Ethnicity Collected Based On Visual Observation Or Surname Indicator,4,35,,Format: Text,"Must equal HMDAEthnicityCollectedBasedOnVisual
",,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL HMDAEthnicityCollectedBasedOnVisualObservationOrSurnameIndicator>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","Y = Yes
N = No",,,,R,
,ADS-020,,HMDA Gender Collected Based On Visual Observation Or Name Indicator,4,35,,Format: Text,"Must equal HMDAGenderCollectedBasedOnVisual
",,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL HMDAGenderCollectedBasedOnVisualObservationOrNameIndicator>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","Y = Yes
N = No",,,,R,
,ADS-020,,HMDA Race Collected Based On Visual Observation Or Surname Indicator,4,35,,Format: Text,"Must equal HMDARaceCollectedBasedOnVisual
",,,,R,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL HMDARaceCollectedBasedOnVisualObservationOrSurnameIndicator>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","Y = Yes
N = No",,,,R,
,ADS-020,,Application Taken Method Type,4,35,,Format: Text,Must equal ApplicationTakenMethodType,,,,,<BORROWER GOVERNMENT_MONITORING GOVERNMENT_MONITORING_EXTENSION GOVERNMENT_MONITORING_DETAIL ApplicationTakenMethodType>
,ADS-030,,Value,39,50,,"Format: Alphanumeric

Value should be in the following format:
SSN(no dashes):Value 

","FaceToFace
Mail
Telephone
Internet",,,,,
,,,<N/L>,,,,End of record: Length=88,,,,,,
,SCA-010,Score,SCA,1,3,M,Record ID Score,,,,,,
,SCA-020,Score,Score ID,4,3,,Note : Do not send multiple score types. One or more of the same score type may be passed.,"Fannie Mae ?Score ID? :
001 = PMI Aura AQI Score
002 = GE IQ Score
003 = UGI Accuscore",,,,,<ADDITIONAL_CASE_DATA MORTGAGE_SCORE _Type>
,SCA-030,Score,Score,7,3,,"The score value associated with the Score ID.

Score Value",,,,,,<ADDITIONAL_CASE_DATA MORTGAGE_SCORE _Value>
,SCA-040,Score,Score Date,10,8,,"Date that the score was received from the Mortgage Scoring engine.

Format: CCYYMMDD",,,,,,<ADDITIONAL_CASE_DATA MORTGAGE_SCORE _Date>
,,,<N/L>,,,,End of record: Length=17,,,,,,
,000-010,,000,1,3,S,Record ID: File Identification,,R,R,R,R,No Corresponding MISMO Attribute
,000-020,,File Type,4,3,,,11 = Product Data,R,R,R,R,No Corresponding MISMO Attribute
,000-030,,File Version ID,7,5,,File Version,File Version = 3.20,R,R,R,R,No Corresponding MISMO Attribute
,,,<N/L>,,,,End of record: Length=11,,,,,,
,LNC-010,Loan Characteristics,LNC,1,3,S,"Record ID-
Loan Characteristics for Eligibility",,R,R,R,R,
,LNC-020,Loan,Lien Type Code,4,1,,Indicates whether the loan being applied for is the first or a subordinate trust on the property.,"EDI Data Element 1101:
1 = First Mortgage
2 = Second Mortgage
F = Other Mortgage",R,,,R,<LOAN_PRODUCT_DATA LOAN_FEATURES LienPriorityType>
,LNC-030,Loan,Loan Documentation Type Code,5,1,,A code indicating the level of documentation being collected to process and underwrite the loan. Mortgages and Home Equity Lines of Credit must be differentiated and specified as applicable in the case.,"EDI Data Element 1103, Loan Documentation Type Code:

A = Alternative (Non-traditional documentation used to determine the credit worthiness of a borrower)
F = Full
R = Reduced
B = Streamlined Refinance
C = No documentation
D = No Ratio
E = Limited Documentation
U = No Income, No Employment and No Assets on 1003
G = No Income and No Assets on 1003
H = No Assets on 1003
I = No Income and No Employment on 1003
J = No Income on 1003
K = No Verification of Stated Income, Employment or Assets
L = No Verification of Stated Income or Assets
M = No Verification of Stated Assets
N = No Verification of Stated Income or Employment
O = No Verification of Stated Income
P = Verbal Verification of Employment
Q = One paystub
S = One paystub and VVOE
T = One paystub and one W-2 and VVOE or one yr 1040
",,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES LoanDocumentationType>
,LNC-040,Loan,Subject Property Type Code,6,2,,"A code indicating the type of property used to secure the loan.

Government Loans: 
05 is not valid for FHA loans. For FHA loans where the subject property is a condominium, you must populate one of the following values: 03, 07 or 09.

05, 07, 10 and 09 are NOT valid for VA submissions.","Fannie Mae Property Type Code:
01 = Detached
02 = Attached
03 = Condominium
04 = Planned Unit Development (PUD)
05 = Co-Operative (Co-Op)
07 = High Rise Condo
08 = Manufactured Home
09 = Detached Condo
10 = Manufactured Home: Condo/PUD/Co-Op",R,R,,R,<LOAN_PRODUCT_DATA LOAN_FEATURES GSEPropertyType>
,LNC-050,Loan,Reserved for future use,8,2,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Attribute
,LNC-060,Loan,Reserved for future use,10,2,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Attribute
,LNC-070,Loan,Reserved for future use,12,2,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Attribute
,LNC-080,Loan,Reserved for future use,14,2,,"Unused, pad with spaces",,,,,,No Corresponding MISMO Attribute
,LNC-090,Loan,Project Classification Code,16,2,,"A lender-assigned code defined by Fannie Mae to classify projects in compliance
w/ Fannie Mae project guidelines.

EarlyCheck - required for conventional loans","Fannie Project Classification Codes:

04 = E PUD
05 = F PUD""
07 = 1 CO-OP
08 = 2 CO-OP
09 = P Condo
10 = Q Condo
11 = R Condo
12 = S Condo
13 = T Condo
14 = U Condo
15 = V Condo
16 = G, not in a project or development",,,,C,<LOAN_PRODUCT_DATA LOAN_FEATURES GSEProjectClassificationType>
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,LNC-100,Loan,Negative Amortization Limit Percent,18,7,,"The maximum amount of negative amortization that may occur against the unpaid balance for the life of the loan, expressed as a percent of the original loan amount.

Format: Z(3).Z(3)

The Neg AM Limit should be populated with the lender?s value. If Neg AM Limit is greater than 100, DU will use the populated value to qualify Neg AM ARMs. If the field is not populated or is less than or equal to 100, DU will use a value of 115 percent (110 percent in New York state) of the loan amount.

 Conditionally required for negatively amortizing ARM plans.
",,R,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES NegativeAmortizationLimitPercent>
,,,,,,,,,,,,,
,LNC-110,Loan,Balloon Indicator,25,1,,"A code indicating whether or not a final balloon payment is required, under the terms of the loan repayment schedule, to fully pay off the loan.

Government Loans: Balloons are not supported.","Y = Yes
N = No",C,,,R,<LOAN_PRODUCT_DATA LOAN_FEATURES Balloon Indicator>
,LNC-120,Loan,Filler,26,1,,,,,,,,
,LNC-130,Loan,Filler,27,1,,,,,,,,
,LNC-140,Loan,Homebuyer Education Completion Indicator,28,1,,"Format: Numeric

This indicator shows whether the borrower has completed education or counseling through the HomeReady program.","1 = HomeBuyer Education complete
2 = One-on-one counseling complete",,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES CounselingConfirmationIndicator>
,LNC-150,Loan,Maximum Lifetime Rate Increase,29,7,,"The maximum % rate increase that may occur over the life of the loan.

Format: Z(3).Z(3)",,,,,,<LOAN_PRODUCT_DATA ARM RateAdjustmentLifetimeCapPercent/MaximumLifetimeRateIncrease>
,LNC-160,Loan,Payment Adjustment Life Percent Cap,36,7,,"The lifetime payment adjustment cap, expressed as a % of the loan amount.

Format: Z(3).Z(3)",,,,,,<LOAN_PRODUCT_DATA ARM PaymentAdjustmentLifetimeCapPercent>
,LNC-170,Loan,Payment Adjustment Life Amount Cap,43,15,,"The lifetime payment adjustment amount cap, expressed as a dollar amount.

Format: Z(12).Z(2)",,,,,,<LOAN_PRODUCT_DATA ARM PaymentAdjustmentLifetimeCapAmount>
,LNC-180,Loan,Will Escrow be Waived?,58,1,,,"Y = Yes
N = No",,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES EscrowWaiverIndicator>
,LNC-190,Loan,Scheduled Loan Closing Date,59,8,,Format: CCYYMMDD,,,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES LoanScheduledClosingDate>
,LNC-200,Loan,Scheduled First Payment Date,67,8,,"Scheduled date for when the first loan payment will be due to be made by the Applicant under the terms of the mortgage.

Format: CCYYMMDD",,,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES ScheduledFirstPaymentDate>
,LNC-210,Loan,MI Coverage Percent,75,7,,"The percentage of the mortgage loan balance, which will be insured by the MI Insurer.

Format Z(3).Z(3)",,,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES MICoveragePercent>
,LNC-220,Loan,MI Insurer Code,82,3,,A code that identifies the specific entity that will provide mortgage insurance for this loan.,"Fannie ? MI Insurer Code:

001 = GE Mortgage Insurance Corporation, GE""
006 = Mortgage Guarantee Insurance Corporation, MGIC
011 = PMI Mortgage Insurance Company, PMI
012 = United Guarantee Residential Insurance Company, UG
013 = Republic Mortgage Insurance Company, RMIC
017 = Radian Guaranty Incorporated
024 = Triad Guarantee Residential Insurance Company, Triad
038 = CMG Mortgage Insurance Co., an affiliate of PMI (credit unions only),CMG
043 = Essent Guaranty, Inc
044 = National Mortgage Insurance Company, NMI",,,,C,<LOAN_PRODUCT_DATA LOAN_FEATURES MICompanyNameType>
,LNC-230,Loan,APR Spread,85,5,,"Spread between the percentage rate of the loan and the applicable Treasury yield.

Format Z(2).Z(2)",,,,,,<GOVERNMENT_REPORTING HMDARateSpreadPercent>
,LNC-240,Loan,HOEPA,90,1,,Indicates a loan is covered under the Home Ownership Equity Protection Act.,"Y = Loan is covered under act
N = Loan is not covered under act",,,,,<GOVERNMENT_REPORTING HMDA_HOEPALoanStatusIndicator>
,LNC-250,Loan,PreApproval,91,1,,,"Y = Pre-Approval loan
N = Not a Pre-Approval loan",,,,,<GOVERNMENT_REPORTING HMDAPreapprovalType>
,,,<N/L>,,,,End of record: Length=91,,,,,,
,PID-010,Product,PID,1,3,S,"Record ID: Product Identification

Segment required for import",,R,R,R,R,
,PID-020,Product,Product Description,4,30,,"Description of the product which has been selected for this loan.

Format: Text

Enter Standard LCOR in the Product Description field to underwrite a
DU Refi Plus loan casefile as a standard limited cash-out refinance.

Enter Affordable LTV in the Product Description field to underwrite based
on the appraised value in accordance with B5-5.1-04, B5-5.3-02 and B5-5.1-02.
","StandardLICOR
Affordable LTV",C,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES ProductDescription>
,PID-030,Product,Product Code,34,15,,"Identifier for the specific loan product, which has been selected for this loan. The product could be a DO Product, a Lender Product, or a Product offered by a Conduit, but identifies specific characteristics which will apply to the loan, as well as rules for what types of loans are eligible.",,,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES ProductName>
,PID-040,Product,Product Plan Number,49,5,,"An identifying number that identifies the varying loan payment/rate change characteristics of variable rate mortgages.

Required for all Fannie Mae ARMs
Do not pad field with leading zeroes

Per 9.1 Nov 2013 release, ARM Plan IDs related to Interest-only and 40-yr ARMS will still be accepted on import, but will cause an Out of Scope recommendation.
Loans submitted with any of the ARM plan IDs retired per the 9.2 Dec 2014 release will receive an Ineligible recommendation.
","Fannie Mae ARM Plan Number for Fannie Mae products.
Fannie Mae Generic ARM plans:

NGAM = Negative Amortization
GEN06 = 6 Month
GEN1A = 1 yr, 1% annual cap
GEN1B = 1 yr, 2% annual cap
GEN3 = 3 yr
GEN5 = 5 yr
GEN7 = 7 yr
GEN10 = 10 yr
251 = FHA 1 yr
FHAHY = FHA Hybrid ARM
VA1YR = VA 1 yr
VAARM = VA Hybrid ARM
For a complete list of all active ARM Index Codes, go to the Data Standards Supporting Resources section of the Technology Integration Web page: https://www.fanniemae.com/singlefamily/technology-integration",C,C,,C,<LOAN_PRODUCT_DATA LOAN_FEATURES FNMProductPlanIdentifier>
,,,<N/L>,,,,End of record: Length=53,,,,,,
,PCH-010,Product Characteristics,PCH,1,3,S,"Record ID: Product Characteristics

Segment required for import",,R,,R,R,
,PCH-020,Product Characteristics,Mortgage Term,4,3,,"The standard number of months used in determining the period of time over which the loan must be repaid.

Format: n (months )

Required for balloon loans, if LNC-110-Y",,C,,,C,<LOAN_PRODUCT_DATA LOAN_FEATURES BalloonLoanMaturityTermMonths>
,PCH-030,Product Characteristics,Assumable Loan Indicator,7,1,,Code indicating whether or not the loan is assumable by another party.,"Y = Yes
N = No",,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES AssumabilityIndicator>
,PCH-040,Product Characteristics,Payment Frequency Code,8,2,,Required if bi-weekly,"Fannie Mae Payment Frequency Codes:
01 = Monthly
02 = Bi-weekly",C,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES PaymentFrequencyType>
,PCH-050,Product Characteristics,Prepayment Penalty Indicator,10,1,,A code indicating whether the loan includes a penalty charged to the Applicant in the event of prepayment.,"Y = Yes
N = No",,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES PrepaymentPenaltyIndicator>
,PCH-060,Product Characteristics,Prepayment Restricted Indicator,11,1,,"A code indicating whether or not the loan has any restrictions on the prepayment of the loan (i.e., paying off the principal and or interest at a rate faster than prescribed by the payment schedule).","Y = Yes
N = No",,,,,<LOAN_PRODUCT_DATA LOAN_FEATURES PrepaymentRestrictionIndicator>
,PCH-070,Product Characteristics,Repayment Type Code,12,2,,"This code specifies whether the loan payment schedule has been calculated to fully repay the loan over the mortgage term and, if negative amortization is possible for the loan, whether it is scheduled or potential. Negative amortization is unpaid interest added to the mortgage principal. This applies to loans where the principal balance increases because the payments do not cover the interest.","See Fannie Mae and EDI Code Conversions Table, EDI Data Element 1087:
N = Fully Amortizing (No Negative Amortization)
F1 = Scheduled Amortization
F2 = Interest Only (no longer supported after 11/16/2013)
P = Possible Negative Amortization
S = Scheduled Negative Amortization",,,,R,<LOAN_PRODUCT_DATA LOAN_FEATURES LoanRepaymentType>
,PCH-070,Product Characteristics,Repayment Type Code,,,,"Only N is supported by DU.

FHA and VA: Only N is valid.",,,,,R,<LOAN_PRODUCT_DATA LOAN_FEATURES LoanRepaymentType>
,,,<N/L>,,,,End of record: Length=13,,,,,,
,ARM-010,ARM,ARM,1,3,S,"Record ID: ARM

Required for ARM, if Amortization Type (field 01A-090) is ?01?",,C,C,,C,
,ARM-020,ARM,ARM Index Value,4,7,,"""The current value of the index, used to calculate the initial interest rate for an ARM loan.

Format: Z(3).Z(3)

""This is the lender?s value. If both the Index Value and Index Margin are populated and greater than zero, DU will use the values to qualify the Neg AM or IO ARM. If the fields are not populated or equal to zero, DU will use a value of 100 basis points above the note rate entered.""

Fannie Mae: Conditionally required for all ARM Plans: If value is not passed, an ineligible message will be returned.
",,C,,,C,<LOAN_PRODUCT_DATA ARM _IndexCurrentValuePercent>
,ARM-030,ARM,Index Type (Index Name),11,2,,Index Code on which rate and/or payment adjustments are based.,"""Fannie Mae Index Type:
0 = Weekly Average CMT""
1 = Monthly Average CMT
2 = Weekly Average TAAI
3 = Weekly Average TAABD
4 = Weekly Average SMTI
5 = Daily CD Rate
6 = Weekly Average CD Rate
7 = Weekly Ave Prime Rate
8 = T-Bill Daily Value
9 = 11th District COF
10 = National Monthly Median Cost of Funds
11 = Wall Street Journal LIBOR
12 = Fannie Mae LIBOR
13 = Freddie Mac LIBOR
14 = National Average Contract Rate (FHLBB)
15 = Federal Cost of Funds
16 = Fannie Mae 60-Day Required Net Yield
17 = Freddie Mac 60-Day Required Net Yield",,,,,<LOAN_PRODUCT_DATA ARM _IndexType>
,ARM-040,ARM,ARM Index Margin,13,7,,"The amount to be added to the index value to calculate the new interest rate at each rate adjustment (For ARM and GPARM loans only).

Format: Z(3).Z(3)

The Index Margin should be populated with the lender?s value. If the Index Value and Index Margin are both populated and greater than zero, DU will use the values to qualify the Neg AM or IO ARM. If the fields are not populated or equal to zero, DU will use a value of 100 basis points above the note rate entered.

Fannie Mae: Conditionally required for all ARM Plans: If value is not passed, an ineligible message will be returned.",,C,,,C,<LOAN_PRODUCT_DATA ARM _IndexMarginPercent>
,ARM-050,ARM,ARM Qualifying Rate,20,7,,"The rate used to calculate the applicant?s PITI to qualify the applicant for the subject mortgage for ARM loans.

Format: Z(3).Z(3)",,C,,,C,<LOAN_PRODUCT_DATA ARM _QualifyingRatePercent>
,ARM-050,ARM,ARM Qualifying Rate,,,,"Fannie Mae and Generic ARM plans: DU will ignore the Qualifying Rate field (ARM-050) and will calculate the qualifying rate.
",,C,,,C,<LOAN_PRODUCT_DATA ARM _QualifyingRatePercent>
,ARM-050,ARM,ARM Qualifying Rate,,,,See the DU Reference Material ?Qualifying Interest Rate Used by DU for Proposed Monthly Housing Expense?.,,C,,,C,<LOAN_PRODUCT_DATA ARM _QualifyingRatePercent>
,ARM-050,ARM,ARM Qualifying Rate,,,,"Lender ARM Plans: If the Qualifying Rate is not populated, a default value will be used.",,C,,,C,<LOAN_PRODUCT_DATA ARM _QualifyingRatePercent>
,,,<N/L>,,,,End of record: Length=26,,,,,,
,PAJ-010,Payment Adjustments,PAJ,1,3,M,"Record ID: Payment Adjustment Occurrences.

This segment is not used by DU. Contains DO product / pricing information.",,,,,,
,PAJ-020,Payment Adjustments,Payment Adjustment Period Number,4,4,,"The sequential number of the payment adjustment for the loan. For the first payment adjustment under the terms of the loan, this would be ?1?. The second adjustment for the loan would be ?2?.

Format: n",,,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT _PeriodNumber>
,PAJ-030,Payment Adjustments,Payment Adjustment Duration,8,3,,"Total Adjustment Period

Format: n (Months)",,,,,,<LOAN_PRODUCT_DATA PAYMENT_ADJUSTMENT _DurationMonths>
